KGS_ID,Latitude,Longitude,Location,Operator,Lease,API,API_NUM_NODASH,Elevation,Elev_Ref,Depth_start,Depth_stop,URL,url_year,key
1006053024,38.0933291,-101.0323832,"T22S R34W, Sec. 34,   NW SE SE","Berexco, Inc.",Mike Rome 1-34,15-055-21026,15055210260000.0,2954.0, KB,3719.0,4882.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349474.las,,1006053024|15055210260000.0
1006053252,38.0987434,-101.0393197,"T22S R34W, Sec. 34,   SE SE NW","Berexco, Inc.",Cormack 1-34,15-055-21151,15055211510000.0,2960.0, KB,3724.0,4850.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347336.las,,1006053252|15055211510000.0
1006053140,38.098751,-101.0370266,"T22S R34W, Sec. 34,   SW SW NE","Oxy USA, Inc.",Henselmann 'A' 1,15-055-21089,15055210890000.0,2957.0, KB,0.0,4925.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001179030.las,,1006053140|15055210890000.0
1006053322,38.0969159,-101.0438867,"T22S R34W, Sec. 34,   NE NW SW","Berexco, Inc.",Cormack 3-34,15-055-21190,15055211900000.0,2967.0, KB,3723.0,4855.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349489.las,,1006053322|15055211900000.0
1006053164,38.0969387,-101.0370075,"T22S R34W, Sec. 34,   NW NW SE","Berexco, Inc.",Mike Rome 4-34,15-055-21102,15055211020000.0,2958.0, KB,3714.0,4853.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349480.las,,1006053164|15055211020000.0
1044136990,38.1004312,-101.0349261,"T22S R34W, Sec. 34,  SW NE SW NE","Oxy USA, Inc.",Henselmann 'A' 5,15-055-22167,15055221670000.0,2954.0, KB,1750.0,4891.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956173.las,2014.0,1044136990|15055221670000.0
1006053270,38.1023681,-101.0393578,"T22S R34W, Sec. 34,   SE NE NW","Berexco, Inc.",Cormack 2-34,15-055-21161,15055211610000.0,2956.0, KB,3739.0,4904.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347337.las,,1006053270|15055211610000.0
1006053120,38.0969538,-101.0324214,"T22S R34W, Sec. 34,   NW NE SE","Berexco, Inc.",Mike Rome 3-34,15-055-21080,15055210800000.0,2953.0, KB,3724.0,4826.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349479.las,,1006053120|15055210800000.0
1006053206,38.0987524,-101.0366097,"T22S R34W, Sec. 34,   SW SW NE","Oxy USA, Inc.",Henselmann 'A' 4,15-055-21123,15055211230000.0,2955.0, KB,1891.0,4836.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347335.las,,1006053206|15055211230000.0
1020066861,38.0941699,-101.0438578,"T22S R34W, Sec. 34,   E2 W2 SW",Berexco LLC,Cormack 6-34,15-055-21694,15055216940000.0,2961.0, KB,3595.0,4853.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1037040254.las,,1020066861|15055216940000.0
